gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRGA;LIU2;LARANJEIRAS DO SUL;EEE-02 LE«O (A);LI017697;EEE-02 LE«O (A);ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEJ;;10/09/2020;29/09/2020;1
GRGA;MTA1;MARQUINHO;CSB-01 (ANTA GORDA);MT005735;CSB-01 (ANTA GORDA);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEJ;;10/09/2020;09/10/2020;1
GRGA;QXU8;QUEDAS DO IGUAÄU;EEE-08 SILO;QX017291;EEE-08 SILO;ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEJ;;10/09/2020;09/10/2020;1
GRGA;MTG1;MARQUINHO;EET-01 ( R. XV DE NOVEMBRO );MT005753;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEJ;;10/09/2020;09/10/2020;2
GRGA;NVD1;NOVA LARANJEIRAS;EEB-01;NV006662;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEJ;;12/09/2020;23/09/2020;2
GRGA;NVG1;NOVA LARANJEIRAS;EET-01;NV006671;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;13/09/2020;12/10/2020;2
GRGA;NVA1;NOVA LARANJEIRAS;CSB-01;NV006680;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;13/09/2020;12/10/2020;1
GRGA;RND1;RESERVA DO IGUAÄU;EEB-01 ( AV. NAÄÂES );RN009632;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEJ;;14/09/2020;25/09/2020;3
GRGA;HIJ1;FOZ DO JORD«O;ETA-01;HI005492;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;17/09/2020;16/10/2020;0
GRGA;QXD1;QUEDAS DO IGUAÄU;EEB-01 ( AV. IP“ );QX017318;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEJ;;18/09/2020;29/09/2020;3
