gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRTB;OJA1;OURO VERDE (SENGÉS);CSB-01 (CENTRO);OJ000965;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;19/09/2020;18/10/2020;1
GRTB;VJU5;SENGÉS;EEE-05 (RODOVIA PR);VJ010702;PAINÉIS;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;19/09/2020;18/10/2020;1
GRTB;OJA4;OURO VERDE (SENGÉS);CSB-04 (FORA DO CENTRO DA CIDADE);OJ000974;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;19/09/2020;18/10/2020;1
GRTB;OJA6;OURO VERDE (SENGÉS);CSB-06;OJ000956;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;19/09/2020;18/10/2020;1
GRTB;EFU3;CARAMBEÍ;EEE-03 VILA BANANA;EF023186;BOMBEAMENTO DE PROCESSO;ESGOTO;INSPEÇÃO E REVISÃO MECÂNICA EM SUBMERSÍVEIS;SDMEF;;21/09/2020;20/10/2020;1
GRTB;EFU1;CARAMBEÍ;EEE-01 BOQUEIRÃO;EF023195;PAINÉIS;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;23/09/2020;22/10/2020;1
GRTB;VJJ1;SENGÉS;ETA-01;VJ010739;BOMBA;ÁGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEF;;23/09/2020;12/10/2020;0
GRTB;WVJ2;VENTANIA;ETA-02 (ESCRITÓRIO);WV003890;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;25/09/2020;24/10/2020;0
GRTB;WVA2;VENTANIA;CSB-02;WV003872;CSB-02;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;25/09/2020;24/10/2020;1
GRTB;WVU1;VENTANIA;EEE-01;WV003881;EEE-01;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;25/09/2020;24/10/2020;1
GRPG;JUD3;IVAÍ;EEB-03 CÂMARA DE CONTATO;JU011206;BOMBEAMENTO DE PROCESSO;ÁGUA;INSPEÇÃO E REVISÃO MECÂNICA EM EQUIPAMENTOS;SDMEG;;07/09/2020;18/09/2020;1
GRPG;QTG5;PRUDENTÓPOLIS;EET-05;QT028334;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEG;;10/09/2020;09/10/2020;1
GRPG;JUX1;IVAÍ;ETE-01;JU011215;ETE-01;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEG;;12/09/2020;23/09/2020;1
GRPG;QTU1;PRUDENTÓPOLIS;EEE-01 (POUSINHO);QT028343;EEE-01 (POUSINHO);ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEG;;14/09/2020;25/09/2020;1
GRPG;QTD7;PRUDENTÓPOLIS;EEB-07 RIO;QT028370;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEG;;17/09/2020;16/10/2020;1
GRPG;QTU2;PRUDENTÓPOLIS;EEE-02 VILA FLORES;QT028389;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEG;;17/09/2020;16/10/2020;2
GRPG;QTJ1;PRUDENTÓPOLIS;ETA-01;QT028352;FLOTAÇÃO;ÁGUA;INSPEÇÃO E REVISÃO MECÂNICA EM EQUIPAMENTOS;SDMEG;;18/09/2020;29/09/2020;0
GRPG;QTD8;PRUDENTÓPOLIS;EEB-08 HORIZONTAL;QT028361;BOMBEAMENTO DE PROCESSO;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEG;;18/09/2020;29/09/2020;1
GRPG;QTU4;PRUDENTÓPOLIS;EEE-04 MARIANA;QT028406;QDF - 01;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEG;;21/09/2020;20/10/2020;0
GRPG;QTG7;PRUDENTÓPOLIS;EET-07;QT028398;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEG;;25/09/2020;24/10/2020;0
GRPG;JJX1;IRATI;ETE-01;JJ054812;ETE-01;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;04/09/2020;23/09/2020;0
GRPG;JJU7;IRATI;EEE-07 GUTIERRES;JJ054830;EEE-07 GUTIERRES;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;05/09/2020;04/10/2020;0
GRPG;YGG2;TEIXEIRA SOARES;EET-02;YG005717;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;05/09/2020;04/10/2020;1
GRPG;JJU4;IRATI;EEE-04 (FINAL/CANESIANAS);JJ054821;PAINÉIS;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;05/09/2020;04/10/2020;2
GRPG;YGA9;TEIXEIRA SOARES;CSB-09;YG005744;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;07/09/2020;06/10/2020;1
GRPG;YGU1;TEIXEIRA SOARES;EEE-01 (BLUMENAU);YG005726;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;07/09/2020;06/10/2020;0
GRPG;YGU2;TEIXEIRA SOARES;EEE-02 BLUMENAU (INTERMEDIÁRIA);YG005735;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;07/09/2020;06/10/2020;0
GRPG;JJJ1;IRATI;ETA-01 (CEPIS);JJ054858;ETA-01 (CEPIS);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;09/09/2020;20/09/2020;0
GRPG;JCU1;IMBITUVA;EEE-01;JC043373;BOMBEAMENTO DE PROCESSO;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;10/09/2020;21/09/2020;1
GRPG;JJA4;IRATI;CSB-04 NHAPINDAZAL NOVO;JJ054849;BOMBEAMENTO DE PROCESSO;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;11/09/2020;30/09/2020;1
